Macro F1,recall,precision
0.472727273,0.5,0.448275862
0.467845118,0.485849057,0.451410658
0.471055904,0.490566038,0.453239289
0.473827643,0.492924528,0.456308777
0.472640096,0.494339623,0.452978056
0.472654625,0.495283019,0.452194357
0.469822563,0.495956873,0.446708464
0.470779427,0.496462264,0.447981975
0.47045837,0.496855346,0.447056775
0.47068526,0.497169811,0.447178683
0.470870897,0.497427101,0.447278427
0.470622482,0.497641509,0.446643156
0.470412284,0.497822932,0.446105619
0.469880189,0.497978437,0.445029109
0.470386675,0.498113208,0.445820272
0.470532963,0.498231132,0.445973746
0.47066204,0.498335183,0.446109165
0.480541085,0.504816562,0.464591315
0.480129831,0.504563059,0.463732607
0.479997214,0.504334906,0.463390805
0.478947057,0.504128482,0.461439518
0.478444459,0.503940823,0.460449321
0.477330795,0.503769483,0.45842079
0.477531298,0.503612421,0.458716475
0.477339137,0.503467925,0.458298851
0.477161758,0.503334543,0.457913351
0.477173451,0.503211041,0.457875692
0.477514601,0.503096361,0.458456486
0.477182715,0.50298959,0.457808165
0.477192541,0.502889937,0.457777778
