repeated_time,Avg Macro F1,Recall_macro,Precision_macro
0,0.839472462,0.841863075,0.837145809
1,0.82628139,0.83201988,0.821051353
2,0.842086494,0.843818809,0.840817074
3,0.846739759,0.85032244,0.843689332
4,0.85445991,0.858956044,0.85051181
5,0.851600045,0.861737564,0.843931672
6,0.851146617,0.854598696,0.853384435
7,0.848725064,0.853148859,0.849431831
8,0.850847011,0.850999709,0.8570721
9,0.84905251,0.847565175,0.856599728
10,0.848988287,0.849390339,0.854456121
11,0.848793795,0.847613658,0.855861543
12,0.849925088,0.847318616,0.858374046
13,0.851269906,0.848370082,0.859633453
14,0.852765026,0.850058524,0.860571003
15,0.850855849,0.84818705,0.858309028
16,0.850837466,0.848773175,0.857439367
17,0.852051221,0.848730083,0.860121947
18,0.850175027,0.845449608,0.860309228
19,0.851771733,0.846645497,0.862126474
20,0.851785804,0.8461322,0.862599208
21,0.851220682,0.845824059,0.861542566
22,0.849069813,0.843321327,0.859673358
23,0.848544962,0.843391272,0.858380704
24,0.850143754,0.844781194,0.860047016
25,0.849800309,0.84377692,0.860541913
26,0.848135339,0.841491973,0.859600188
27,0.847735124,0.841151544,0.858978204
28,0.84700916,0.840870943,0.857659267
29,0.846157433,0.840136123,0.856542847
