repeated_times,Macro F1,recall,precision
0,0.546961607,0.778195489,0.616883117
1,0.564479276,0.750523412,0.626003178
2,0.555164402,0.747740799,0.621238034
3,0.542555742,0.739468603,0.61735349
4,0.541795644,0.734422651,0.617088193
5,0.529584706,0.731816349,0.609074315
6,0.521315322,0.731215719,0.606984333
7,0.523152626,0.728430182,0.605126763
8,0.522932812,0.72736911,0.603660436
9,0.522668071,0.732205728,0.603162814
10,0.522570901,0.735180242,0.603443467
11,0.52608541,0.738903647,0.603802679
12,0.523794353,0.73547066,0.602797153
13,0.521122939,0.73650847,0.601908888
14,0.52308922,0.737055544,0.603280747
15,0.525468308,0.736856166,0.604382997
16,0.527013825,0.738317327,0.604715062
17,0.531534754,0.739823028,0.606810313
18,0.533981127,0.744296422,0.607130993
19,0.53336203,0.744038577,0.606806968
20,0.535188939,0.745787656,0.608131178
21,0.533385513,0.743290148,0.607469325
22,0.530858925,0.742630468,0.60569911
23,0.53016109,0.744078043,0.605183869
24,0.530416032,0.74317939,0.605231085
25,0.533034697,0.744662723,0.607193351
26,0.533780418,0.744453332,0.608017378
27,0.532810891,0.74386076,0.607602906
28,0.532592913,0.742563838,0.60662204
29,0.532702592,0.741748755,0.606707008
