Macro F1,recall,precision
0.683299595,0.646315002,0.836169847
0.657262113,0.627726414,0.777421906
0.680524257,0.652873165,0.77323329
0.685693995,0.65432154,0.790536478
0.691759327,0.660748665,0.787955029
0.697162325,0.67222335,0.776504688
0.70642148,0.681598189,0.780138472
0.675144343,0.658898415,0.735054049
0.680444111,0.661532926,0.74702935
0.682897671,0.662759356,0.749508828
0.680481152,0.66001132,0.748490612
0.682902306,0.661698973,0.752609612
0.685688389,0.663868898,0.755047453
0.690896679,0.669224422,0.757383349
0.691395605,0.669247928,0.757320558
0.694906981,0.672323848,0.760054229
0.694031784,0.671392837,0.758270081
0.697005289,0.674346707,0.759763738
0.697310922,0.673995282,0.762967484
0.696925575,0.673364966,0.762841901
0.700238115,0.676466658,0.765370615
0.700599691,0.676916759,0.764441917
0.702135116,0.678146247,0.766171717
0.706053221,0.682042931,0.768829542
0.707877758,0.683672912,0.770195952
0.710286477,0.685523089,0.773915448
0.709587553,0.684543838,0.773768127
0.711050785,0.685529036,0.775876039
0.709692812,0.684663191,0.772793858
0.708838194,0.683481387,0.773294932
