repeated_time,Avg Macro F1,Recall_macro,Precision_macro
0,0.780023502,0.752747253,0.818085106
1,0.751685579,0.72438499,0.793939914
2,0.772662638,0.737502081,0.831376609
3,0.764334071,0.722769418,0.862168821
4,0.767211938,0.726041621,0.858485056
5,0.753052643,0.713336807,0.842140325
6,0.744569002,0.703528813,0.841834564
7,0.742890357,0.702790092,0.835508752
8,0.741443665,0.706457355,0.82317178
9,0.758508089,0.727020411,0.832063393
10,0.76761605,0.73509792,0.840367108
11,0.770185513,0.737809927,0.841123032
12,0.770190502,0.737946342,0.838953966
13,0.775964991,0.746852844,0.839062696
14,0.784222434,0.759700017,0.841079729
15,0.779501249,0.753534309,0.842615137
16,0.785231944,0.759325715,0.846370869
17,0.787395493,0.760961178,0.848063201
18,0.788504754,0.76399908,0.845491788
19,0.791421196,0.76616371,0.848285226
20,0.790003525,0.766508497,0.843663162
21,0.792269373,0.767789059,0.846585422
22,0.792329434,0.77079634,0.843003645
23,0.791762516,0.770204753,0.841504224
24,0.794817291,0.775193664,0.841685325
25,0.796359727,0.775293053,0.846137689
26,0.797565188,0.776086025,0.847147562
27,0.799474765,0.777729287,0.84865989
28,0.804481871,0.782258999,0.853515538
29,0.80387623,0.782604887,0.851081532
