Macro F1,recall,precision
0.466431095,0.496240602,0.44
0.536618619,0.544360138,0.548063725
0.512592081,0.529573425,0.509967428
0.524774994,0.53522952,0.538616306
0.540276536,0.545079941,0.567417867
0.534537756,0.538542091,0.557422691
0.525343139,0.533036078,0.541177822
0.517742623,0.528433084,0.528113928
0.512250093,0.525273852,0.518367641
0.508411843,0.522746467,0.51156399
0.504766209,0.520339393,0.505361203
0.502038022,0.518644444,0.500499425
0.499153483,0.517210256,0.495366764
0.497347348,0.515980952,0.492149933
0.499366388,0.516912266,0.499186681
0.496829824,0.51585525,0.494477579
0.495152179,0.514922588,0.491296389
0.492804755,0.51365611,0.48730565
0.491904212,0.512937367,0.485533899
0.490724495,0.512290499,0.483277072
0.489386826,0.511705237,0.480762144
0.490922787,0.512288732,0.484298702
0.490417898,0.511754439,0.483253754
0.489728302,0.511112603,0.48200707
0.490528781,0.51162048,0.500060121
0.489157429,0.511173538,0.496873906
0.487960285,0.510759703,0.494046347
0.487258484,0.510375428,0.492130311
0.486733294,0.510017655,0.490574779
0.487008294,0.510053712,0.492674667
