repeated_times,Macro F1,recall,precision
0,0.472727273,0.5,0.448275862
1,0.475102375,0.5,0.452586207
2,0.475894076,0.5,0.454022989
3,0.477456271,0.5,0.456896552
4,0.475542999,0.5,0.453448276
5,0.475073711,0.5,0.452586207
6,0.471896065,0.5,0.447044335
7,0.472593741,0.5,0.448275862
8,0.472071093,0.5,0.447318008
9,0.472136711,0.5,0.447413793
10,0.472190399,0.5,0.447492163
11,0.471832024,0.5,0.44683908
12,0.471528785,0.5,0.446286472
13,0.47091694,0.5,0.445197044
14,0.47135431,0.5,0.445977011
15,0.47144012,0.5,0.44612069
16,0.471515835,0.5,0.446247465
17,0.471040675,0.5,0.445402299
18,0.471129443,0.5,0.445553539
19,0.471446845,0.5,0.44612069
20,0.470803849,0.5,0.44499179
21,0.470671397,0.5,0.444749216
22,0.469895692,0.5,0.443403298
23,0.470405991,0.5,0.444324713
24,0.470498842,0.5,0.444482759
25,0.470584551,0.5,0.444628647
26,0.470839845,0.5,0.445083014
27,0.471407195,0.5,0.44612069
28,0.471285909,0.5,0.445897741
29,0.471492295,0.5,0.446264368
