repeated_times,Macro F1,recall,precision
0,0.809252255,0.798466143,0.821693548
1,0.791911551,0.783568226,0.801356419
2,0.776974509,0.767989929,0.787300388
3,0.776129063,0.76320078,0.792776731
4,0.780687326,0.767029011,0.798195276
5,0.777468503,0.771112886,0.7887271
6,0.774158875,0.765750148,0.788437202
7,0.772312606,0.766895962,0.783237396
8,0.775936623,0.769331802,0.787897493
9,0.774332053,0.768175198,0.785316077
10,0.775385461,0.768851128,0.786480928
11,0.772422896,0.763849749,0.788967012
12,0.774595665,0.765709504,0.791048715
13,0.774364127,0.765529847,0.790314547
14,0.771630332,0.762591497,0.7874893
15,0.769180653,0.76014774,0.784721149
16,0.771032454,0.762403595,0.785789784
17,0.771922926,0.762916346,0.786967504
18,0.771570196,0.762290237,0.786795158
19,0.770176405,0.760339006,0.786176767
20,0.768659988,0.759291037,0.783898428
21,0.766066939,0.756706257,0.781121722
22,0.766661798,0.757366929,0.781454423
23,0.765353571,0.756528723,0.779449719
24,0.766765879,0.757737328,0.780978182
25,0.766451978,0.756488036,0.783030776
26,0.765863313,0.75535885,0.783197481
27,0.765807336,0.754798218,0.783852942
28,0.764218487,0.75301712,0.782409325
29,0.764895121,0.753989548,0.78255957
