Macro F1,recall,precision
0.646350767,0.631575009,0.674091674
0.654949577,0.643049193,0.674865023
0.67511537,0.65747724,0.706625411
0.683113466,0.663691263,0.717519087
0.700158175,0.679153534,0.73643775
0.708061417,0.68957687,0.739372732
0.702228561,0.683785669,0.734832239
0.704805273,0.685958293,0.737470364
0.694037436,0.67537852,0.737211914
0.675966261,0.66070109,0.743167593
0.670642813,0.655329325,0.737671579
0.676025732,0.660524312,0.739837381
0.680333977,0.666024975,0.739237039
0.675241181,0.661772348,0.73015365
0.678498088,0.663843901,0.733674086
0.675107718,0.659938966,0.74287175
0.673239426,0.658044453,0.738836807
0.660389878,0.649147,0.719862896
0.663233394,0.650971946,0.723485996
0.652427939,0.643423349,0.707529817
0.655719049,0.646384438,0.709337153
0.660462258,0.650288236,0.713697426
0.661341322,0.650390671,0.716414365
0.66474069,0.653909115,0.717903244
0.666531159,0.655094965,0.719631351
0.669335733,0.657490978,0.721901902
0.673764656,0.662358596,0.724383931
0.667680097,0.657425084,0.724037211
0.664757278,0.654330076,0.722746952
0.665465742,0.655335509,0.721574832
