repeated_times,Macro F1,recall,precision
0,0.72402746,0.680512288,0.885439763
1,0.749705301,0.708559715,0.866231787
2,0.741943183,0.701320512,0.849106483
3,0.71574172,0.678696806,0.836730656
4,0.697523348,0.662957445,0.853880649
5,0.686179797,0.653537573,0.852549584
6,0.690107713,0.658651953,0.840907163
7,0.681092056,0.651525714,0.826887633
8,0.678185786,0.648873025,0.81824191
9,0.674307771,0.645542326,0.816906608
10,0.67092864,0.642412216,0.826094075
11,0.665745342,0.637743576,0.821163493
12,0.663222936,0.635953236,0.817238642
13,0.668942371,0.64080499,0.818214194
14,0.668491871,0.639813342,0.821109401
15,0.667150545,0.638592697,0.82317548
16,0.665138987,0.637279104,0.824426595
17,0.66497487,0.636648614,0.826494134
18,0.661690876,0.634083934,0.826717031
19,0.665132224,0.636379737,0.832181179
20,0.666893437,0.637686305,0.8325528
21,0.661868545,0.634239609,0.831037891
22,0.662383012,0.63481336,0.828549701
23,0.666655065,0.638260692,0.831508255
24,0.665591098,0.637485601,0.828138635
25,0.667994687,0.639455156,0.83024969
26,0.665415115,0.637890973,0.832308101
27,0.667919087,0.639907649,0.833188569
28,0.669340749,0.641073522,0.833580844
29,0.666167808,0.638579022,0.829229386
