repeated_time,Avg Macro F1,Recall_macro,Precision_macro
0,0.74973189,0.767961571,0.734981685
1,0.7299765,0.726896,0.745082549
2,0.724619928,0.707052804,0.77775978
3,0.718205775,0.701168724,0.763302276
4,0.711490268,0.691118706,0.765797696
5,0.705062588,0.687089817,0.751424139
6,0.7101867,0.691310901,0.754804064
7,0.724567297,0.702634279,0.772214983
8,0.716625493,0.697129477,0.758978991
9,0.716616374,0.695945941,0.759889603
10,0.721378104,0.704491521,0.759181388
11,0.715998111,0.697249944,0.761912441
12,0.713856456,0.697490847,0.75548293
13,0.715037369,0.700331136,0.75323944
14,0.714823682,0.700060059,0.751867811
15,0.720039854,0.704242786,0.757691042
16,0.723500259,0.707462668,0.760410485
17,0.729431563,0.71336187,0.765397855
18,0.728954658,0.715249031,0.761938275
19,0.727703003,0.713268952,0.761446277
20,0.729669308,0.714669192,0.763601834
21,0.725064222,0.710006407,0.758871804
22,0.723754886,0.710337689,0.755353081
23,0.724743918,0.711229945,0.755816987
24,0.727325134,0.713440088,0.758358671
25,0.726234295,0.71154343,0.759505754
26,0.727104576,0.711612882,0.761704524
27,0.725308171,0.70992561,0.759246939
28,0.724636998,0.707947012,0.763367239
29,0.727508329,0.709847957,0.767657501
