repeated_time,Avg Macro F1,Recall_macro,Precision_macro
0,0.748917749,0.730769231,0.771698113
1,0.710307931,0.701233672,0.721698113
2,0.680179075,0.664344461,0.719227314
3,0.665114647,0.649878716,0.69926897
4,0.625669699,0.619902973,0.647346211
5,0.624711643,0.613808033,0.698811901
6,0.635008358,0.618978314,0.732747863
7,0.649247032,0.638068289,0.732500534
8,0.664155191,0.65229475,0.74049905
9,0.670940992,0.665590916,0.736630551
10,0.678029788,0.671516218,0.739818511
11,0.669727375,0.662358587,0.736202683
12,0.66987897,0.660104328,0.740177768
13,0.677989077,0.665811162,0.748898224
14,0.681555237,0.667461487,0.752709049
15,0.68777879,0.672019182,0.758616123
16,0.67484415,0.661334796,0.740307434
17,0.67466937,0.659316196,0.751758609
18,0.670593204,0.654811025,0.749316426
19,0.679531076,0.666127078,0.753036502
20,0.680352865,0.665666864,0.756198785
21,0.6765742,0.661383305,0.764888314
22,0.680040649,0.663062292,0.772695102
23,0.680309225,0.661476363,0.781069649
24,0.683348957,0.66681218,0.779026863
25,0.687197861,0.672107373,0.778529923
26,0.679430439,0.665733025,0.766617576
27,0.687147049,0.671718751,0.774633785
28,0.687550865,0.670723523,0.780865625
29,0.685329671,0.67220255,0.774945467
