repeated_times,Macro F1,recall,precision
0,0.449168207,0.5,0.407718121
1,0.449676354,0.5,0.408557047
2,0.451852363,0.5,0.412192394
3,0.452940367,0.5,0.414010067
4,0.452185935,0.5,0.412751678
5,0.452523688,0.5,0.413310962
6,0.450713108,0.5,0.410354746
7,0.451399517,0.5,0.411493289
8,0.450924493,0.5,0.410700969
9,0.451353067,0.5,0.411409396
10,0.450592848,0.5,0.410158633
11,0.449165117,0.5,0.407857942
12,0.448690158,0.5,0.407072793
13,0.448283051,0.5,0.406399808
14,0.448877174,0.5,0.40738255
15,0.448703392,0.5,0.407088926
16,0.448790516,0.5,0.407224635
17,0.448468301,0.5,0.406692767
18,0.448180004,0.5,0.406216884
19,0.448127219,0.5,0.406124161
20,0.447783093,0.5,0.405560882
21,0.447938273,0.5,0.40581147
22,0.447586592,0.5,0.405237817
23,0.447945667,0.5,0.405830537
24,0.447912812,0.5,0.405771812
25,0.447439476,0.5,0.405007744
26,0.447764102,0.5,0.405543127
27,0.447886707,0.5,0.405740652
28,0.448343067,0.5,0.406503124
29,0.448571973,0.5,0.406879195
