Macro F1,recall,precision
0.582854406,0.573901004,0.689777778
0.58603174,0.575911541,0.655918768
0.608991115,0.601192489,0.65672998
0.592751231,0.587454,0.65856311
0.590302795,0.584128338,0.677110904
0.578029706,0.576279787,0.715142925
0.586805731,0.58267084,0.720281439
0.595738243,0.594319744,0.711396998
0.592605399,0.590784217,0.734558146
0.597350446,0.593633019,0.733607099
0.605574982,0.601074858,0.731075816
0.600792151,0.596620207,0.74748869
0.588008074,0.589187884,0.71955328
0.592765388,0.596246899,0.713954936
0.595383469,0.597572964,0.710765037
0.596469212,0.597749924,0.706956224
0.596376564,0.597347522,0.717990049
0.596140456,0.596889929,0.711205613
0.58813219,0.591790459,0.694787093
0.581153564,0.587200936,0.68038356
0.580931273,0.58633843,0.676686925
0.577202758,0.583710576,0.678949479
0.579626728,0.585031967,0.681741649
0.57669987,0.582246151,0.675785858
0.577073829,0.582069605,0.67377561
0.580650826,0.584616664,0.676248061
0.576452006,0.581944627,0.672246912
0.578972672,0.583313884,0.677126983
0.574076193,0.580440992,0.667159146
0.572722396,0.578995099,0.664927121
