repeated_times,Macro F1,recall,precision
0,0.522596243,0.527777778,0.943333333
1,0.503814226,0.52281746,0.926666667
2,0.504490768,0.521000444,0.818603604
3,0.516594662,0.527655095,0.848013105
4,0.519726908,0.529670008,0.830212286
5,0.550541855,0.549762167,0.836706585
6,0.539060938,0.542653286,0.780564017
7,0.547652347,0.547190047,0.801236758
8,0.538627763,0.541528997,0.761099341
9,0.544248991,0.544042764,0.780626991
10,0.547386482,0.54538647,0.795994031
11,0.541106606,0.541604264,0.76691285
12,0.545069629,0.543879567,0.770779313
13,0.544566403,0.543126265,0.783818886
14,0.544752784,0.543281484,0.793756688
15,0.54208688,0.541935087,0.802063561
16,0.543824782,0.542736291,0.810548571
17,0.53899199,0.540362052,0.788880861
18,0.539256547,0.540117433,0.797711693
19,0.538423532,0.53950045,0.804992775
20,0.534814481,0.537619476,0.787158052
21,0.533674743,0.536991751,0.793802383
22,0.531311074,0.535383414,0.779300753
23,0.534340653,0.536885296,0.786818703
24,0.533200781,0.536208419,0.782661391
25,0.530188199,0.534815787,0.768605897
26,0.52901396,0.534297919,0.774336542
27,0.530298783,0.534922856,0.774513069
28,0.528289444,0.533718619,0.7632202
29,0.5289252,0.534109817,0.768875723
