Macro F1,recall,precision
0.458333333,0.483516484,0.435643564
0.458333333,0.491758242,0.429360244
0.496978558,0.514652015,0.501054977
0.4887133,0.510989011,0.48396431
0.484848191,0.508791209,0.475632986
0.480896808,0.507326007,0.467674925
0.480018332,0.506279435,0.465424661
0.478005731,0.505494505,0.461333116
0.475819909,0.504884005,0.457082428
0.487612918,0.511538462,0.489261974
0.485458792,0.51048951,0.484119277
0.481991415,0.509615385,0.477029209
0.481838229,0.50887574,0.475837613
0.480359777,0.507456829,0.473011677
0.485498912,0.51025641,0.48055464
0.483976474,0.509615385,0.477262763
0.483894744,0.509049774,0.47662061
0.482630586,0.508547009,0.473913054
0.485280971,0.509832273,0.485347971
0.484886269,0.509080243,0.484138825
0.484403469,0.50864785,0.482604742
0.488206332,0.510527493,0.50413683
0.487388133,0.510069776,0.501448606
0.486750345,0.509650202,0.499184722
0.486055842,0.509264194,0.496909641
0.484770293,0.508907879,0.493700099
0.484099788,0.508577958,0.491618613
0.483279792,0.508271602,0.489342399
0.482800756,0.507800983,0.48786859
0.481795117,0.50754095,0.485388355
