repeated_times,Macro F1,recall,precision
0,0.466666667,0.5,0.4375
1,0.459649123,0.494318182,0.429534314
2,0.461988304,0.496212121,0.432189542
3,0.46247061,0.497159091,0.432315234
4,0.490943672,0.513306983,0.502617864
5,0.526533206,0.540677167,0.54420283
6,0.519135244,0.534866143,0.531020008
7,0.547474033,0.555904701,0.568809173
8,0.537569511,0.549693067,0.552616701
9,0.557747397,0.563405079,0.584940065
10,0.549217408,0.557640981,0.57109936
11,0.540436813,0.552837566,0.556760952
12,0.535787828,0.548773138,0.549436145
13,0.530850602,0.545289342,0.541440706
14,0.545908905,0.555090566,0.569317723
15,0.540610842,0.551647405,0.560478154
16,0.559164448,0.565416045,0.585450027
17,0.55371864,0.561781821,0.576696393
18,0.556826393,0.563446282,0.581224968
19,0.552985074,0.560273968,0.575240643
20,0.549259474,0.557403779,0.569368378
21,0.545872565,0.554794517,0.564029955
22,0.542547138,0.552412146,0.558737683
23,0.539611058,0.550228307,0.554086754
24,0.541371242,0.550900334,0.557903081
25,0.537958178,0.548942629,0.552347637
26,0.543808113,0.552624444,0.563540149
27,0.540855677,0.550745,0.558695309
28,0.538484144,0.548995172,0.554847725
29,0.537456607,0.548287926,0.566935325
