repeated_time,Avg Macro F1,Recall_macro,Precision_macro
0,0.795409836,0.785714286,0.80615942
1,0.780659696,0.759334416,0.813392516
2,0.798453982,0.7626332,0.865285732
3,0.771917409,0.742212995,0.825594734
4,0.770432478,0.746668947,0.813374338
5,0.776234306,0.756431363,0.812019189
6,0.756070508,0.737427491,0.7890224
7,0.762217125,0.748225245,0.789116191
8,0.762669904,0.748738097,0.788385468
9,0.770822389,0.762875276,0.790750437
10,0.779668706,0.770434955,0.800221082
11,0.777482784,0.767214065,0.799113644
12,0.780782567,0.769896317,0.802387897
13,0.779415964,0.766316596,0.804970309
14,0.787027916,0.775668383,0.810088691
15,0.784454018,0.770587985,0.814594377
16,0.791931113,0.775679448,0.824906413
17,0.788124065,0.769623183,0.831827999
18,0.786242849,0.769602529,0.82692004
19,0.786674296,0.768361986,0.829563937
20,0.785248146,0.766727728,0.827511289
21,0.783021582,0.768336815,0.821792801
22,0.780168092,0.766121793,0.817253605
23,0.779191302,0.764055053,0.817626998
24,0.780487418,0.765956619,0.817385686
25,0.782581004,0.766411279,0.822772652
26,0.783103057,0.766108705,0.824051811
27,0.788818602,0.772870205,0.82790061
28,0.791831425,0.77958992,0.827749879
29,0.793171756,0.7813383,0.827892928
