repeated_times,Macro F1,recall,precision
0,0.694267197,0.655405911,0.842061924
1,0.681262097,0.644073629,0.844542867
2,0.700626781,0.65788242,0.869668834
3,0.693493391,0.652370148,0.854123914
4,0.69961367,0.65743671,0.861527063
5,0.709462134,0.666519839,0.863206941
6,0.707414185,0.665052719,0.871443565
7,0.711613702,0.668410712,0.872423363
8,0.715875516,0.671885044,0.877389975
9,0.719012308,0.674502293,0.877856511
10,0.714652871,0.6712841,0.873614316
11,0.709263377,0.667541962,0.874187643
12,0.708785149,0.667102174,0.876341152
13,0.703245112,0.662910946,0.872897842
14,0.701722402,0.661137273,0.874999756
15,0.69961015,0.659574634,0.871067789
16,0.700943317,0.660415935,0.873478528
17,0.702393608,0.661522153,0.876582378
18,0.698826155,0.658838603,0.875402604
19,0.698197949,0.658376472,0.87355441
20,0.697039542,0.657610116,0.871625318
21,0.697291017,0.657793659,0.870446218
22,0.699275153,0.659578782,0.871466615
23,0.699543884,0.659624111,0.871143213
24,0.699054899,0.659121071,0.87232923
25,0.697171935,0.657808722,0.873749362
26,0.696069668,0.656757165,0.872654692
27,0.694924291,0.655729903,0.872500991
28,0.695389801,0.655838152,0.872969287
29,0.695583581,0.655884921,0.872600739
