repeated_times,Macro F1,recall,precision
0,0.443983402,0.5,0.399253731
1,0.449633978,0.5,0.40858209
2,0.452981792,0.5,0.414179104
3,0.451876261,0.5,0.412313433
4,0.451212943,0.5,0.41119403
5,0.45000802,0.5,0.40920398
6,0.447464501,0.5,0.405117271
7,0.446447757,0.5,0.403451493
8,0.446933525,0.5,0.404228856
9,0.446406839,0.5,0.403358209
10,0.446186527,0.5,0.402985075
11,0.447128473,0.5,0.404539801
12,0.446164679,0.5,0.402985075
13,0.446657289,0.5,0.403784648
14,0.447084218,0.5,0.404477612
15,0.446745622,0.5,0.40391791
16,0.445748069,0.5,0.402326602
17,0.446154356,0.5,0.402985075
18,0.446040095,0.5,0.402788688
19,0.446166074,0.5,0.402985075
20,0.446171546,0.5,0.402985075
21,0.445753512,0.5,0.402306649
22,0.445371828,0.5,0.401687216
23,0.445313977,0.5,0.401585821
24,0.44507464,0.5,0.40119403
25,0.444671737,0.5,0.40054535
26,0.443847368,0.5,0.399253731
27,0.443852227,0.5,0.399253731
28,0.443615074,0.5,0.39886773
29,0.443779894,0.5,0.399129353
