repeated_times,Macro F1,recall,precision
0,0.449168207,0.5,0.407718121
1,0.577073956,0.582840012,0.619841421
2,0.536784097,0.555226675,0.553048643
3,0.516639168,0.541420006,0.519652254
4,0.503144976,0.533136005,0.497265427
5,0.494989555,0.527613337,0.483739086
6,0.487112422,0.523668575,0.47072171
7,0.483248917,0.520710003,0.464314382
8,0.479235071,0.518408892,0.457653052
9,0.506035907,0.536373756,0.500093281
10,0.50030452,0.533067051,0.490780347
11,0.49473415,0.530311463,0.481761179
12,0.490753881,0.527979812,0.475291166
13,0.487342222,0.525981254,0.46974544
14,0.4853324,0.524249171,0.46650514
15,0.482880166,0.522733598,0.462516354
16,0.480956892,0.521396327,0.459391626
17,0.478847656,0.520207642,0.455961591
18,0.476960446,0.519144082,0.452892613
19,0.475468639,0.518186878,0.450466103
20,0.485665559,0.524750759,0.468379159
21,0.484098809,0.523625724,0.465774371
22,0.482174931,0.522598519,0.462593635
23,0.481092825,0.521656914,0.460796529
24,0.479734084,0.520790637,0.458539165
25,0.478036853,0.519990997,0.455745583
26,0.477228242,0.51925059,0.454401787
27,0.476298557,0.518563069,0.45285436
28,0.475775199,0.517922963,0.451992221
29,0.4750897,0.517325531,0.450851989
