repeated_times,Macro F1,recall,precision
0,0.44015444,0.711538462,0.583333333
1,0.446123104,0.723693759,0.579545455
2,0.406857239,0.669254959,0.56043771
3,0.387189261,0.639672701,0.548946704
4,0.40789775,0.658796984,0.559745598
5,0.40225419,0.65957441,0.561983121
6,0.433654325,0.654932827,0.569983874
7,0.420041897,0.653254903,0.568503332
8,0.437782814,0.653811392,0.569898705
9,0.439305345,0.660545638,0.571480263
10,0.439358808,0.659353843,0.570050928
11,0.446372659,0.64794177,0.566350103
12,0.449784894,0.654661181,0.569164801
13,0.448889237,0.653435383,0.569280534
14,0.449913225,0.659558558,0.569870165
15,0.446852334,0.661004418,0.570310972
16,0.445541244,0.655869919,0.56779145
17,0.444754094,0.65721048,0.569580814
18,0.441217614,0.650791844,0.566637855
19,0.438034782,0.648157912,0.564947376
20,0.441454991,0.651792764,0.567807025
21,0.448355577,0.652532512,0.568783329
22,0.449415215,0.654052838,0.571227532
23,0.449427722,0.65399971,0.56990249
24,0.446035903,0.651429466,0.568617862
25,0.442904992,0.649056932,0.567432051
26,0.442793453,0.651922049,0.567657879
27,0.441116306,0.654613145,0.566864903
28,0.440636645,0.653917994,0.56664908
29,0.443546875,0.651680476,0.565672033
