repeated_times,Macro F1,recall,precision
0,0.668085106,0.637362637,0.739322533
1,0.612765957,0.5942495,0.709661267
2,0.652223917,0.63243007,0.72736283
3,0.662921603,0.639798743,0.736928373
4,0.669518569,0.642998415,0.748046099
5,0.667768207,0.642261475,0.739506501
6,0.677993944,0.654613179,0.741214428
7,0.680121534,0.655524627,0.74426575
8,0.670480573,0.64676684,0.737533274
9,0.678017071,0.653518728,0.743429069
10,0.682143179,0.655291196,0.755003545
11,0.67862092,0.652246992,0.752104313
12,0.668628383,0.643740813,0.737684479
13,0.667131697,0.641322906,0.743921302
14,0.672379288,0.646187093,0.747425963
15,0.667440137,0.641895906,0.741488718
16,0.670109571,0.645244487,0.740788902
17,0.673070387,0.646434608,0.752383682
18,0.674225349,0.647692243,0.751504147
19,0.674756506,0.646557631,0.762458352
20,0.671426954,0.643580723,0.757560142
21,0.676170867,0.647934404,0.760915121
22,0.672587351,0.644653072,0.758266637
23,0.671024866,0.643411621,0.754715886
24,0.670412545,0.643254866,0.751731929
25,0.670407826,0.642863331,0.755524552
26,0.671825443,0.644084103,0.756091544
27,0.664300959,0.638938242,0.744369868
28,0.66489147,0.639675296,0.743306826
29,0.660929479,0.636440641,0.737537024
