Macro F1,recall,precision
0.647368421,0.624783662,0.729179911
0.681146981,0.660403195,0.736007753
0.662314607,0.641292188,0.720510545
0.670076916,0.646381985,0.735392445
0.660476003,0.637435863,0.732991375
0.655736105,0.63301956,0.733639647
0.657784626,0.635068936,0.736657833
0.64734599,0.626723907,0.719527711
0.649947732,0.628636739,0.721977588
0.637301212,0.619243415,0.711365881
0.636822612,0.618488381,0.713685438
0.644876872,0.62624323,0.718035804
0.648767462,0.629553485,0.722167249
0.655519431,0.634862364,0.729933616
0.642022217,0.62587154,0.708883315
0.644486268,0.627691226,0.71193455
0.645330178,0.628219017,0.71650158
0.644448615,0.627090864,0.715786025
0.633897814,0.620401871,0.699126431
0.631947633,0.618546915,0.695926061
0.631477381,0.617734953,0.698659741
0.63446924,0.620483598,0.70027987
0.631072569,0.617934701,0.704581823
0.629328257,0.616294668,0.705440848
0.628874425,0.615708562,0.706373251
0.628765659,0.615474186,0.707630858
0.629614337,0.616152433,0.71286136
0.629446041,0.615799316,0.712748434
0.631633244,0.617464945,0.715303134
0.625530792,0.613549447,0.705016911
