repeated_times,Macro F1,recall,precision
0,0.466666667,0.5,0.4375
1,0.4625,0.5,0.430288462
2,0.463888889,0.5,0.432692308
3,0.463896048,0.5,0.432692308
4,0.46499439,0.5,0.434615385
5,0.464351974,0.5,0.43349359
6,0.465837046,0.5,0.436126374
7,0.465597106,0.5,0.435697115
8,0.46479002,0.5,0.434294872
9,0.464977684,0.5,0.434615385
10,0.464881306,0.5,0.434440559
11,0.46312872,0.5,0.431490385
12,0.464426511,0.5,0.433801775
13,0.464586522,0.5,0.434065934
14,0.464725198,0.5,0.434294872
15,0.464501117,0.5,0.433894231
16,0.465564996,0.5,0.435803167
17,0.465319157,0.5,0.435363248
18,0.465390079,0.5,0.435475709
19,0.466120575,0.5,0.436778846
20,0.46653138,0.5,0.4375
21,0.466904838,0.5,0.438155594
22,0.467012791,0.5,0.43833612
23,0.467223976,0.5,0.438701923
24,0.467310527,0.5,0.438846154
25,0.466745952,0.5,0.437869822
26,0.466743016,0.5,0.437856125
27,0.466542904,0.5,0.4375
28,0.46673388,0.5,0.437831565
29,0.466263804,0.5,0.437019231
