repeated_times,Macro F1,recall,precision
0,0.637615258,0.616332498,0.680844156
1,0.616827961,0.598744065,0.729062951
2,0.604269551,0.587012583,0.716501737
3,0.630908596,0.609032331,0.734018989
4,0.656750052,0.633288857,0.748848203
5,0.660412277,0.634903479,0.749784216
6,0.662604955,0.637643343,0.744162422
7,0.672395757,0.64533326,0.75418595
8,0.66219129,0.63735369,0.736138873
9,0.674991992,0.651780085,0.742478062
10,0.682294909,0.660010789,0.745033532
11,0.673072933,0.651267606,0.74147915
12,0.668605196,0.647940503,0.732460122
13,0.676414909,0.657226265,0.735708769
14,0.673314046,0.653545078,0.73686548
15,0.679934403,0.658405882,0.745786304
16,0.679265846,0.658535527,0.741799419
17,0.677406241,0.656517514,0.739901483
18,0.679570243,0.657294074,0.744427345
19,0.678114879,0.656258944,0.740730482
20,0.676923269,0.655289349,0.737927257
21,0.674131723,0.652593046,0.734845557
22,0.676805252,0.657388552,0.733980576
23,0.679255987,0.660334954,0.73439257
24,0.678828505,0.659665146,0.733757113
25,0.674971587,0.656149331,0.729375836
26,0.675638969,0.656101417,0.732232046
27,0.673423388,0.653823299,0.730113989
28,0.669469693,0.650163364,0.726261466
29,0.668678193,0.648816598,0.730654283
