Macro F1,recall,precision
0.466666667,0.5,0.4375
0.4625,0.5,0.430288462
0.523061258,0.542124542,0.511810241
0.506879277,0.528815629,0.491700818
0.499380972,0.523052503,0.481822193
0.49300746,0.519210419,0.472832597
0.489633216,0.514946317,0.469710853
0.486418755,0.513078027,0.465083535
0.483298152,0.511624913,0.460416134
0.481635004,0.510462422,0.45812452
0.480024324,0.509511292,0.455812501
0.476508784,0.507714669,0.450916361
0.476777339,0.507121233,0.451733446
0.476055148,0.506612573,0.450716771
0.475429249,0.506171735,0.449835653
0.474360754,0.505434878,0.448419954
0.474844655,0.505115179,0.449474436
0.474083279,0.504831003,0.448275002
0.473692931,0.504576739,0.447707896
0.478998184,0.507212486,0.461106815
0.478795769,0.506869034,0.460669494
0.478611756,0.506556805,0.46027193
0.478210712,0.506271727,0.459490876
0.477955317,0.506010405,0.458975231
0.48015662,0.507001873,0.46510467
0.483846249,0.509266857,0.473118698
0.483209968,0.50892364,0.471799487
0.482421751,0.508604939,0.470231099
0.482065181,0.508308217,0.469434005
0.484094155,0.509409399,0.471968023
