repeated_times,Macro F1,recall,precision
0,0.562382519,0.559521137,0.805843906
1,0.579887218,0.570402645,0.838859453
2,0.568822519,0.562296208,0.805360325
3,0.556001671,0.554534656,0.834952447
4,0.551662069,0.552307111,0.834172003
5,0.569590699,0.564247861,0.835251197
6,0.563059796,0.560850273,0.82064207
7,0.563846033,0.560806489,0.825112622
8,0.566531425,0.562591621,0.829729738
9,0.567552745,0.562872907,0.824465097
10,0.569800099,0.564608753,0.832373573
11,0.572160198,0.566780037,0.835003576
12,0.57347638,0.567785996,0.837364476
13,0.573881051,0.56821346,0.842555199
14,0.569983174,0.565527951,0.834712498
15,0.566100859,0.563197002,0.82585114
16,0.567088695,0.56371629,0.82814576
17,0.566711274,0.563585071,0.827025779
18,0.566513571,0.563578703,0.82837963
19,0.566747833,0.563701071,0.827707176
20,0.565796416,0.563313189,0.831329695
21,0.5657668,0.563158739,0.828548295
22,0.565981566,0.563469772,0.831865512
23,0.566557228,0.563613393,0.829655259
24,0.568355558,0.564762531,0.830164055
25,0.566478012,0.563884885,0.829851677
26,0.566368426,0.563611371,0.827289355
27,0.566527727,0.56362514,0.828392937
28,0.566418839,0.563300755,0.827132862
29,0.569470473,0.565205428,0.829449306
