repeated_times,Macro F1,recall,precision
0,0.53298791,0.532967033,0.691176471
1,0.495660622,0.516483516,0.557126697
2,0.48599597,0.510989011,0.517251131
3,0.480476359,0.508241758,0.496111425
4,0.478258638,0.506593407,0.485350679
5,0.474937754,0.504558176,0.47565631
6,0.499412147,0.518192722,0.54496031
7,0.516371593,0.528617045,0.579340272
8,0.51540342,0.527646969,0.580792379
9,0.524346671,0.53257458,0.617320985
10,0.518853112,0.529613254,0.600536559
11,0.516589611,0.52912961,0.625734565
12,0.513775026,0.526888871,0.613104095
13,0.515684005,0.52771549,0.636578629
14,0.517338454,0.528431893,0.656923225
15,0.517882405,0.528738233,0.674117951
16,0.523301087,0.53124943,0.691574177
17,0.519847687,0.52951335,0.676924757
18,0.52093469,0.529984307,0.6908628
19,0.532889801,0.537860092,0.705082036
20,0.533643523,0.537931597,0.701131092
21,0.535208201,0.538480161,0.712730164
22,0.540098052,0.541769303,0.71454822
23,0.53715179,0.539804901,0.703383792
24,0.534441228,0.538212705,0.692940748
25,0.531294703,0.536742986,0.682191547
26,0.528901073,0.535382135,0.673128898
27,0.52648103,0.534118487,0.664370173
28,0.526705406,0.533953212,0.661288443
29,0.526070493,0.533747364,0.669828019
