repeated_times,Macro F1,recall,precision
0,0.574152542,0.569401177,0.810852713
1,0.632047008,0.609781757,0.819870801
2,0.67967841,0.66295392,0.806916156
3,0.653296943,0.638775073,0.780946397
4,0.641437151,0.627020058,0.808603271
5,0.651550576,0.63284901,0.820072619
6,0.677454212,0.65794446,0.827139571
7,0.676043487,0.656181698,0.815246065
8,0.651018619,0.638828176,0.770268476
9,0.65800009,0.644857757,0.769162681
10,0.638544028,0.63168887,0.735534595
11,0.641925256,0.634006693,0.733577113
12,0.625977095,0.623698485,0.706711824
13,0.63726684,0.633440463,0.714661527
14,0.649445605,0.644782061,0.723011577
15,0.658233437,0.65158982,0.731612865
16,0.666059544,0.657841936,0.739294447
17,0.667769157,0.657984024,0.742814797
18,0.65599096,0.649669076,0.724732636
19,0.659967728,0.652268191,0.728888161
20,0.664059325,0.655124501,0.733021009
21,0.668153376,0.658344366,0.736484168
22,0.671547234,0.660768636,0.74011196
23,0.676886977,0.665059905,0.745313234
24,0.667384719,0.658457509,0.731172346
25,0.672149817,0.66259571,0.735079017
26,0.666878511,0.658631259,0.740332501
27,0.66838811,0.659406544,0.741604675
28,0.668963568,0.659402693,0.742350774
29,0.665688428,0.656199362,0.73792785
