repeated_times,Macro F1,recall,precision
0,0.666168411,0.647802008,0.704501916
1,0.729208236,0.717366913,0.751218509
2,0.724447338,0.715086714,0.740705551
3,0.720622325,0.708287512,0.741831845
4,0.720630294,0.701712579,0.77056225
5,0.718716459,0.698150352,0.771460774
6,0.732508729,0.712516478,0.780893094
7,0.727876956,0.707647321,0.776016011
8,0.733942576,0.713952501,0.77936316
9,0.732718619,0.714154286,0.77425448
10,0.733916134,0.713613308,0.779956326
11,0.726094445,0.707260436,0.768541837
12,0.726358757,0.707313856,0.768614043
13,0.729033652,0.711349101,0.768270703
14,0.73078314,0.713697339,0.768071058
15,0.728575103,0.711375621,0.765680652
16,0.731262377,0.713528514,0.769095718
17,0.727022001,0.708868674,0.766706673
18,0.728036001,0.709316441,0.768499284
19,0.728512383,0.710015757,0.767895643
20,0.727693699,0.709240349,0.766500445
21,0.730012876,0.71097651,0.769777538
22,0.726190317,0.707475302,0.765229757
23,0.728851176,0.709625756,0.768451972
24,0.728530462,0.709063386,0.768615495
25,0.731355077,0.712122489,0.770552149
26,0.729866562,0.710522924,0.77063425
27,0.730450332,0.711095283,0.770819142
28,0.729841517,0.710292705,0.770728558
29,0.727970176,0.708573468,0.76830229
