repeated_time,Avg Macro F1,Recall_macro,Precision_macro
0,0.782671788,0.786604361,0.778975741
1,0.778465274,0.81213335,0.761840812
2,0.799518377,0.82431697,0.786233529
3,0.79817949,0.817916626,0.787146657
4,0.816066656,0.830663576,0.808505204
5,0.815504246,0.824128035,0.814041133
6,0.824970026,0.834721789,0.821818218
7,0.821231557,0.835081894,0.815766473
8,0.819593481,0.831352256,0.815324648
9,0.819160368,0.831000049,0.814265093
10,0.820354004,0.828254238,0.820344662
11,0.811795918,0.819037799,0.811787354
12,0.813902687,0.82177967,0.812945237
13,0.811671909,0.822241214,0.808930591
14,0.813729661,0.823594345,0.811171098
15,0.81301905,0.818994699,0.819327071
16,0.815740631,0.821364771,0.821677592
17,0.813892125,0.818667634,0.820112744
18,0.81120009,0.814793942,0.818387739
19,0.810917508,0.815531309,0.816859378
20,0.809695551,0.814089647,0.815354475
21,0.809669244,0.812575083,0.817180157
22,0.809334514,0.811805375,0.816866804
23,0.810291007,0.811346656,0.819544869
24,0.810148598,0.811470787,0.818758063
25,0.809422777,0.809723862,0.819296052
26,0.809739483,0.809926413,0.819356329
27,0.809333379,0.810576942,0.817908729
28,0.805052358,0.806653422,0.813056724
29,0.803093546,0.804027972,0.811700447
