repeated_times,Macro F1,recall,precision
0,0.647030651,0.620283835,0.808888889
1,0.624110564,0.601132177,0.785954861
2,0.593229886,0.578240165,0.72275463
3,0.590049678,0.576386546,0.729891493
4,0.584301647,0.573109237,0.767119301
5,0.596073976,0.581750486,0.782288571
6,0.595005764,0.582064142,0.780793832
7,0.585464814,0.575890689,0.759685042
8,0.582780892,0.573897784,0.763523456
9,0.580137383,0.572235769,0.75629372
10,0.585319197,0.575769891,0.77099145
11,0.586641803,0.576286046,0.766640925
12,0.58105255,0.573019734,0.756947392
13,0.591024666,0.580813943,0.761281361
14,0.593266346,0.582072123,0.762947718
15,0.58819,0.579174758,0.771608182
16,0.587161728,0.578973748,0.778659046
17,0.582129671,0.575794047,0.786360946
18,0.583205951,0.576432239,0.788696115
19,0.583834492,0.576693196,0.784150198
20,0.586372722,0.578315186,0.787277868
21,0.583967702,0.577028132,0.792262809
22,0.583919298,0.577093241,0.793425749
23,0.584696785,0.577544343,0.794980058
24,0.584877276,0.577700369,0.796097522
25,0.583565315,0.577006576,0.796068726
26,0.582458055,0.576726497,0.79917155
27,0.583872851,0.577620741,0.798903518
28,0.581790426,0.576336737,0.795332667
29,0.579465572,0.574666797,0.789183336
