repeated_times,Macro F1,recall,precision
0,0.635087719,0.604395604,0.749494949
1,0.543859649,0.546515984,0.585531788
2,0.540235736,0.541999667,0.620746683
3,0.521156184,0.53149975,0.573733089
4,0.526668537,0.533533134,0.648306859
5,0.525483199,0.532563504,0.653817808
6,0.528802449,0.533534675,0.649288437
7,0.528457352,0.533112682,0.653911696
8,0.520350688,0.528802182,0.628180407
9,0.522365693,0.529768118,0.659537124
10,0.516799712,0.526556875,0.638855461
11,0.514707328,0.526327929,0.660860224
12,0.519714301,0.528709755,0.665077613
13,0.515925184,0.526659058,0.648822069
14,0.512641283,0.524881787,0.634733931
15,0.509247036,0.522975552,0.62176209
16,0.515173681,0.52582573,0.642298072
17,0.512171804,0.524390967,0.630386213
18,0.513267389,0.524842339,0.6335857
19,0.511604019,0.523600222,0.624983338
20,0.513804929,0.524604061,0.628835672
21,0.51202959,0.523485695,0.620794191
22,0.510057289,0.522228283,0.613009555
23,0.508474953,0.521302104,0.606097298
24,0.509755984,0.521899296,0.609696543
25,0.507558892,0.521057015,0.602149043
26,0.506044365,0.520277126,0.596050931
27,0.504440634,0.519552943,0.590044991
28,0.505684086,0.520075319,0.59098005
29,0.503819131,0.519212343,0.585034761
