repeated_times,Macro F1,recall,precision
0,0.630749405,0.787205387,0.673022312
1,0.61347029,0.772663106,0.663606863
2,0.593158915,0.76083096,0.652434896
3,0.582320453,0.754414887,0.646629286
4,0.58572846,0.756446238,0.649483989
5,0.581522589,0.754713263,0.647938557
6,0.589299417,0.758313444,0.654178301
7,0.58812311,0.758170097,0.652331591
8,0.588428262,0.757786036,0.653272484
9,0.587577076,0.758915062,0.65288426
10,0.585957821,0.756496385,0.653493564
11,0.587829594,0.75448781,0.655061706
12,0.587602689,0.75281904,0.655105425
13,0.588233654,0.751991439,0.655452875
14,0.586888229,0.752854692,0.6545843
15,0.586322958,0.752267689,0.654787372
16,0.5849922,0.750861929,0.653816424
17,0.586269774,0.75079579,0.65440881
18,0.586196618,0.749848317,0.654473086
19,0.587566437,0.750355465,0.654816243
20,0.587275686,0.749255409,0.654924747
21,0.585371573,0.747770894,0.653821896
22,0.586495709,0.748178454,0.654876637
23,0.583416764,0.746202268,0.653135663
24,0.584632011,0.74720662,0.653776758
25,0.585965605,0.747218149,0.654717939
26,0.587071359,0.748549576,0.654662783
27,0.587800398,0.749467074,0.654888595
28,0.584465196,0.747239275,0.652802851
29,0.583609951,0.747225434,0.652313951
