repeated_time,Avg Macro F1,Recall_macro,Precision_macro
0,0.703672554,0.728905597,0.686141304
1,0.705518448,0.702504483,0.733464171
2,0.71336796,0.708158205,0.735704045
3,0.698575588,0.693160778,0.717099006
4,0.701336661,0.698459069,0.714879205
5,0.707051034,0.706027299,0.717083036
6,0.708942112,0.712215046,0.714662737
7,0.725082075,0.728899888,0.729194399
8,0.727005203,0.735073362,0.727749519
9,0.72196404,0.733085633,0.720443207
10,0.722268005,0.732907284,0.72039608
11,0.717654985,0.726654208,0.71684552
12,0.717471787,0.726849921,0.715855417
13,0.717678829,0.727330529,0.715378224
14,0.711327483,0.721160361,0.708636164
15,0.719132761,0.72872668,0.716255442
16,0.725029539,0.734966012,0.721529594
17,0.723130414,0.731016675,0.722825336
18,0.726015191,0.734430594,0.724925659
19,0.725255718,0.732504386,0.725174474
20,0.721471777,0.727720905,0.722399411
21,0.717202815,0.723405585,0.717887247
22,0.715820809,0.724340302,0.715192846
23,0.71561268,0.725224802,0.714051438
24,0.717354999,0.725768924,0.716938019
25,0.714925902,0.722170974,0.716446813
26,0.713208977,0.718906208,0.719160498
27,0.713822558,0.718353316,0.721028353
28,0.712843044,0.71721757,0.719800364
29,0.714730464,0.718292699,0.722331663
