Macro F1,recall,precision
0.472727273,0.5,0.448275862
0.475102375,0.5,0.452586207
0.475894076,0.5,0.454022989
0.477456271,0.5,0.456896552
0.475542999,0.5,0.453448276
0.475073711,0.5,0.452586207
0.471151616,0.498511905,0.446828278
0.471942349,0.498697917,0.448086812
0.471492078,0.498842593,0.447149963
0.471615597,0.498958333,0.447262553
0.471716659,0.49905303,0.447354672
0.471397763,0.499131944,0.446713047
0.471127928,0.499198718,0.446170134
0.470544716,0.499255952,0.445089016
0.4710069,0.499305556,0.445876185
0.471114423,0.499348958,0.446026165
0.471209297,0.499387255,0.4461585
0.470751167,0.499421296,0.445318277
0.470855173,0.499451754,0.445473939
0.471186288,0.499479167,0.44604507
0.470555699,0.499503968,0.444919771
0.470434527,0.499526515,0.444680471
0.469669121,0.499547101,0.443337542
0.47018886,0.499565972,0.444261696
0.470290396,0.499583333,0.444422263
0.470384122,0.499599359,0.444570478
0.470646839,0.499614198,0.445026999
0.471221083,0.499627976,0.446066675
0.47093632,0.499302738,0.445809083
0.471154359,0.49932598,0.446178665
