repeated_time,Avg Macro F1,Recall_macro,Precision_macro
0,0.731481481,0.666666667,0.964285714
1,0.715169609,0.673899371,0.843253968
2,0.70067911,0.673165618,0.786068683
3,0.699706495,0.709735325,0.753667159
4,0.694104818,0.694398904,0.760509485
5,0.656402333,0.660396523,0.708319307
6,0.652374161,0.651768448,0.739783896
7,0.662947573,0.68586343,0.733849371
8,0.672499814,0.687932137,0.745417548
9,0.692255061,0.708882513,0.755609686
10,0.690386247,0.703296457,0.751732711
11,0.695263872,0.703395235,0.758918566
12,0.703980564,0.712959532,0.761501753
13,0.707893674,0.717212422,0.760477737
14,0.712164284,0.716064927,0.774660174
15,0.714461375,0.716983946,0.774475045
16,0.705508597,0.707425313,0.762959084
17,0.705024156,0.70520724,0.762396367
18,0.702048403,0.70166057,0.757126251
19,0.697942051,0.696105844,0.754984224
20,0.695586946,0.692058475,0.763675451
21,0.69450109,0.689376418,0.764775603
22,0.69946108,0.692012226,0.772951889
23,0.69733707,0.688834248,0.770879489
24,0.693332476,0.684229596,0.768258595
25,0.691607568,0.682444631,0.764181886
26,0.69087018,0.682046612,0.760756561
27,0.68752561,0.680198627,0.754341401
28,0.687916373,0.678910989,0.761272978
29,0.687375765,0.67867056,0.758287149
