repeated_times,Macro F1,recall,precision
0,0.703921569,0.675647452,0.752098321
1,0.576413339,0.587823726,0.579691545
2,0.539121895,0.558549151,0.531052641
3,0.563745236,0.570789152,0.587428467
4,0.542363095,0.556631322,0.554048734
5,0.531554021,0.547192768,0.537866219
6,0.557979775,0.56459493,0.580533682
7,0.54653619,0.556520564,0.562602733
8,0.537844375,0.550240501,0.549024357
9,0.531446697,0.545216451,0.539155034
10,0.557032201,0.568821564,0.564825284
11,0.549948515,0.563086434,0.555008166
12,0.543378553,0.558233631,0.545682525
13,0.538413485,0.554074086,0.538871711
14,0.533233538,0.550469147,0.531423751
15,0.528580277,0.547314825,0.524699833
16,0.538894471,0.554863803,0.538076215
17,0.544833276,0.55860533,0.547496234
18,0.54119439,0.555520839,0.542556558
19,0.544814805,0.557360503,0.549075052
20,0.540901407,0.554629051,0.543426887
21,0.537343773,0.552145912,0.538292191
22,0.544158992,0.55799829,0.545421779
23,0.544153142,0.55706979,0.562556983
24,0.540892354,0.554786998,0.557273247
25,0.537583942,0.552679806,0.551886527
26,0.542062057,0.555212516,0.563523005
27,0.53942805,0.553240641,0.55912566
28,0.537103909,0.551404757,0.555259943
29,0.534557588,0.549691265,0.550989689
