repeated_time,Avg Macro F1,Recall_macro,Precision_macro
0,0.753049583,0.749567324,0.756766382
1,0.784672069,0.788744701,0.781413494
2,0.801433677,0.801853193,0.801720361
3,0.801097197,0.804922005,0.798392697
4,0.813048059,0.820598154,0.807318427
5,0.8155217,0.818826603,0.814559324
6,0.814867925,0.819148293,0.812829863
7,0.810152461,0.815215347,0.807273925
8,0.80085135,0.80262408,0.80290725
9,0.797880643,0.803628518,0.797663759
10,0.800657412,0.806297489,0.800069234
11,0.791675539,0.797804584,0.790372808
12,0.790940022,0.796843587,0.789506084
13,0.786553627,0.794106144,0.783936968
14,0.783778944,0.788939595,0.784534673
15,0.783871286,0.787790406,0.785761673
16,0.786479159,0.789013374,0.789893665
17,0.78526075,0.786905806,0.789407369
18,0.784541285,0.784949732,0.790177798
19,0.781389941,0.781949952,0.78658415
20,0.781574059,0.782107402,0.786520925
21,0.781649569,0.783430609,0.78559603
22,0.782740056,0.784443659,0.786514932
23,0.784138161,0.784353407,0.790127916
24,0.783009428,0.783606529,0.788437015
25,0.783933994,0.784912804,0.788813872
26,0.785713721,0.786874125,0.790219076
27,0.785123323,0.787352796,0.788795564
28,0.781768048,0.783180153,0.787027738
29,0.780871976,0.781850907,0.786429303
